file,diff_fields,deepseek_values,kimi_values,poe_values
Georgia Tech/associate/Mikhail Klimenko.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}"
Georgia Tech/associate/bc40ff64-4e43-5327-b822-c69a074ed835.docx,JOURNAL OF ECONOMIC THEORY; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""2"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""years_post_phd"": ""8""}","{""JOURNAL OF ECONOMIC THEORY"": ""3"", ""years_post_phd"": """"}"
Georgia Tech/full/CV_Jason_Lindo.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; JOURNAL OF PUBLIC ECONOMICS,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""3"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3""}"
Georgia Tech/full/cv.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""The Claremont Graduate School"", ""promotion_year"": ""1986"", ""years_post_phd"": ""9""}","{""promotion_university"": ""Duke University"", ""promotion_year"": ""1986"", ""years_post_phd"": ""9""}","{""promotion_university"": ""Duke University"", ""promotion_year"": ""1984"", ""years_post_phd"": ""7""}"
Georgia Tech/full/fe161b52-7155-5aa6-8ec0-d30e4f9554ed.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Haizheng Li"", ""promotion_university"": ""Georgia Institute of Technology"", ""promotion_year"": ""2004"", ""years_post_phd"": ""7""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""0"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Haizheng Li"", ""promotion_university"": ""Georgia Institute of Technology"", ""promotion_year"": ""2004"", ""years_post_phd"": ""7""}"
Georgia/associate/James Berry CV latest.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}"
Georgia/associate/Vitae_Lin_2026.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""3""}"
Georgia/full/CV-Chatterjee.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}"
Georgia/full/gervais_cv_20230622.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; JOURNAL OF MONETARY ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""promotion_university"": ""University of Iowa"", ""promotion_year"": ""2011"", ""years_post_phd"": ""12""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""promotion_university"": ""University of Southampton"", ""promotion_year"": ""2010"", ""years_post_phd"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""promotion_university"": ""University of Southampton"", ""promotion_year"": ""2007"", ""years_post_phd"": ""8""}"
Georgia/full/vita_cornwell.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""4""}"
Georgia/full/vita_lastrapes.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Houston/full/CV_Jan2025_Sorensen.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""Brown University"", ""promotion_year"": ""1999"", ""years_post_phd"": ""9""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3"", ""promotion_university"": ""University of Copenhagen and Copenhagen Business School"", ""promotion_year"": ""1994"", ""years_post_phd"": ""4""}"
Houston/full/CV_Juhn_February_2021.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF LABOR ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF LABOR ECONOMICS"": ""3""}"
Houston/full/CV_gergely.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""5""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""4""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""6""}"
Houston/full/JanetKohlhase_CV_Aug_2024_for_web.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Houston/full/Vita_2025_June_Craig.docx,JOURNAL OF PUBLIC ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3""}"
Houston/full/achin_cv.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}"
Houston/full/cv_vollrath.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}"
Houston/full/vita_papell.docx,AMERICAN ECONOMIC REVIEW; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""JOURNAL OF MONETARY ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""5""}"
Indiana Bloomington/associate/BulentGuler_CV.docx,INTERNATIONAL ECONOMIC REVIEW; years_post_phd,"{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""years_post_phd"": ""7""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""years_post_phd"": ""7""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""years_post_phd"": """"}"
Indiana Bloomington/associate/CV_Lashkaripour.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}"
Indiana Bloomington/associate/CV_RULIXIAO.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""3""}","{""JOURNAL OF ECONOMETRICS"": ""4""}"
Indiana Bloomington/associate/CV_mostafa.docx,name,"{""name"": """"}","{""name"": ""MOSTAFA BESHKAR""}","{""name"": """"}"
Indiana Bloomington/associate/cv_melo_emerson.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF PUBLIC ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}"
Indiana Bloomington/full/VITA_25_11.docx,INTERNATIONAL ECONOMIC REVIEW,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""1""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2""}"
Indiana Bloomington/full/chang-cv.docx,JOURNAL OF ECONOMETRICS; QUANTITATIVE ECONOMICS,"{""JOURNAL OF ECONOMETRICS"": ""5"", ""QUANTITATIVE ECONOMICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""7"", ""QUANTITATIVE ECONOMICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""8"", ""QUANTITATIVE ECONOMICS"": ""2""}"
Indiana Bloomington/full/james-walker-cv-september-2025.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Indiana Bloomington/full/lueck-cv.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Montana State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Louisiana State University"", ""promotion_year"": ""1991"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Montana State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""10""}"
Indiana Bloomington/full/park-cv.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS,"{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""13""}","{""ECONOMETRICA"": ""6"", ""JOURNAL OF ECONOMETRICS"": ""15""}","{""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""18""}"
Indiana Bloomington/full/xu-cv.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""7""}","{""JOURNAL OF ECONOMETRICS"": ""6""}","{""JOURNAL OF ECONOMETRICS"": ""7""}"
Iowa State/associate/Bunzel_H_2024_CV.docx,JOURNAL OF ECONOMIC THEORY,"{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Iowa State/full/20250701_Rosenbloom_CV.docx,JOURNAL OF LABOR ECONOMICS,"{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""1""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}"
Iowa State/full/Cordoba_CV_September_2025.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""3""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}"
Iowa State/full/John Winters CV August 2025.docx,JOURNAL OF LABOR ECONOMICS,"{""JOURNAL OF LABOR ECONOMICS"": ""1""}","{""JOURNAL OF LABOR ECONOMICS"": ""0""}","{""JOURNAL OF LABOR ECONOMICS"": ""1""}"
Iowa State/full/Lence_S_2025CV.docx,JOURNAL OF ECONOMETRICS; years_post_phd,"{""JOURNAL OF ECONOMETRICS"": ""0"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMETRICS"": ""0"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""years_post_phd"": """"}"
Iowa State/full/LongVitae1.docx,name,"{""name"": ""Quinn Weninger""}","{""name"": ""Quinn Rone Arthur Weninger""}","{""name"": ""Quinn Weninger""}"
Iowa State/full/Moschini-CV-June 2025-short.docx,INTERNATIONAL ECONOMIC REVIEW; REVIEW OF ECONOMICS AND STATISTICS,"{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""0""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}"
Iowa State/full/ORAZEM.docx,years_post_phd,"{""years_post_phd"": """"}","{""years_post_phd"": ""6""}","{""years_post_phd"": """"}"
Iowa State/full/RESUME.docx,JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMIC THEORY; years_post_phd,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""1"", ""years_post_phd"": """"}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""years_post_phd"": ""6""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""years_post_phd"": """"}"
Iowa State/full/Singh Rajesh cv 2024.docx,JOURNAL OF INTERNATIONAL ECONOMICS,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""1""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}"
Iowa State/full/VitaJAHMay2019.docx,JOURNAL OF DEVELOPMENT ECONOMICS,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1""}"
Iowa State/full/jbvita March 2024.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY,"{""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3""}"
Iowa State/full/kreider_cv.docx,JOURNAL OF LABOR ECONOMICS,"{""JOURNAL OF LABOR ECONOMICS"": ""1""}","{""JOURNAL OF LABOR ECONOMICS"": ""2""}","{""JOURNAL OF LABOR ECONOMICS"": ""2""}"
"Iowa/full/David J Cooper resume, 2025.docx",AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; JOURNAL OF ECONOMIC THEORY,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMIC JOURNAL"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""2""}"
Iowa/full/NicholasY-CV.docx,ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""10"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""6"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""11"", ""promotion_university"": ""University of Illinois at Urbana-Champaign"", ""promotion_year"": ""2011"", ""years_post_phd"": ""28""}"
Iowa/full/cv_castro.docx,ECONOMETRICA; years_post_phd,"{""ECONOMETRICA"": ""1"", ""years_post_phd"": ""10""}","{""ECONOMETRICA"": ""1"", ""years_post_phd"": ""10""}","{""ECONOMETRICA"": ""2"", ""years_post_phd"": """"}"
Iowa/full/cv_kumar.docx,JOURNAL OF PUBLIC ECONOMICS,"{""JOURNAL OF PUBLIC ECONOMICS"": ""3""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}"
Michigan State/associate/sorenanderson_cv.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Michigan State/full/CV Kyoo il Kim.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""4""}"
Michigan State/full/ElderCVcurrent.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Michigan State/full/HaiderCV.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}"
Michigan State/full/Mike Conlin - Curriculum Vitae.docx,REVIEW OF ECONOMICS AND STATISTICS,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}"
Michigan State/full/Stacy Dickert-Conlin - Curriculum Vitae.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Michigan State/full/WoodburyCV(2025-10).docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF LABOR ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1""}"
Michigan State/full/Zhu_CV_Sept2025.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5""}"
