file,diff_fields,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Colorado Boulder/associate/CV_Peri.docx,AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS; AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY; AMERICAN ECONOMIC JOURNAL-MACROECONOMICS; AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW; ECONOMETRICA; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF INTERNATIONAL ECONOMICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF MONETARY ECONOMICS; JOURNAL OF POLITICAL ECONOMY; JOURNAL OF PUBLIC ECONOMICS; JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION; QUANTITATIVE ECONOMICS; QUARTERLY JOURNAL OF ECONOMICS; RAND JOURNAL OF ECONOMICS; REVIEW OF ECONOMIC STUDIES; REVIEW OF ECONOMICS AND STATISTICS; THEORETICAL ECONOMICS; name; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Alessandro Peri"", ""promotion_university"": ""University of Colorado Boulder"", ""promotion_year"": ""2025"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""ALESSANDRO PERI"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Alessandro Peri"", ""promotion_university"": ""University of Colorado Boulder"", ""promotion_year"": ""2025"", ""years_post_phd"": ""9""}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": ""0"", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMETRICA"": ""0"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""0"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF MONETARY ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": ""0"", ""QUANTITATIVE ECONOMICS"": ""1"", ""QUARTERLY JOURNAL OF ECONOMICS"": ""0"", ""RAND JOURNAL OF ECONOMICS"": ""0"", ""REVIEW OF ECONOMIC STUDIES"": ""0"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0"", ""name"": ""Alessandro Peri"", ""promotion_university"": ""University of Colorado Boulder"", ""promotion_year"": ""2025"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-APPLIED ECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": """", ""AMERICAN ECONOMIC JOURNAL-MACROECONOMICS"": """", ""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": """", ""AMERICAN ECONOMIC REVIEW"": """", ""ECONOMETRICA"": """", ""ECONOMIC JOURNAL"": """", ""INTERNATIONAL ECONOMIC REVIEW"": """", ""JOURNAL OF DEVELOPMENT ECONOMICS"": """", ""JOURNAL OF ECONOMETRICS"": """", ""JOURNAL OF ECONOMIC THEORY"": """", ""JOURNAL OF INTERNATIONAL ECONOMICS"": """", ""JOURNAL OF LABOR ECONOMICS"": """", ""JOURNAL OF MONETARY ECONOMICS"": """", ""JOURNAL OF POLITICAL ECONOMY"": """", ""JOURNAL OF PUBLIC ECONOMICS"": """", ""JOURNAL OF THE EUROPEAN ECONOMIC ASSOCIATION"": """", ""QUANTITATIVE ECONOMICS"": """", ""QUARTERLY JOURNAL OF ECONOMICS"": """", ""RAND JOURNAL OF ECONOMICS"": """", ""REVIEW OF ECONOMIC STUDIES"": """", ""REVIEW OF ECONOMICS AND STATISTICS"": """", ""THEORETICAL ECONOMICS"": """", ""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Colorado Boulder/associate/CV_jaworski.docx,years_post_phd,"{""years_post_phd"": ""7""}","{""years_post_phd"": ""7""}","{""years_post_phd"": ""7""}","{""years_post_phd"": """"}","{""years_post_phd"": ""7""}"
Colorado Boulder/associate/Hughes CV November 2025.docx,AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY,"{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""2""}","{""AMERICAN ECONOMIC JOURNAL-ECONOMIC POLICY"": ""1""}"
Colorado Boulder/associate/McCloskey_CV-6f82972.docx,JOURNAL OF ECONOMETRICS,"{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""2""}"
Colorado Boulder/full/Antman_CV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS,"{""AMERICAN ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3""}"
Colorado Boulder/full/WK CV April 2025.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF INTERNATIONAL ECONOMICS; REVIEW OF ECONOMICS AND STATISTICS; promotion_university,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Texas at Austin""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Texas-Austin""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""5"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""3"", ""promotion_university"": ""University of Texas-Austin""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Texas-Austin""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""2"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""6"", ""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""University of Texas at Austin""}"
Colorado Boulder/full/Xiaodong_Liu_CV.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; JOURNAL OF ECONOMETRICS,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""6""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""JOURNAL OF ECONOMETRICS"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""6""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""8""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""4""}"
Colorado Boulder/full/carlos_cv.docx,JOURNAL OF ECONOMETRICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": ""Oregon State University"", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": ""Oregon State University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMETRICS"": ""5"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Colorado Boulder/full/chen_cv_2021_0.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF INTERNATIONAL ECONOMICS; RAND JOURNAL OF ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""10"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""8"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""ECONOMIC JOURNAL"": ""3"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2"", ""RAND JOURNAL OF ECONOMICS"": ""10"", ""promotion_university"": ""University of Colorado Boulder"", ""promotion_year"": ""1996"", ""years_post_phd"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""4"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""9"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""RAND JOURNAL OF ECONOMICS"": ""5"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Colorado Boulder/full/cv_kaffine.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Colorado School of Mines"", ""promotion_year"": ""2012"", ""years_post_phd"": ""5""}","{""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""promotion_university"": ""Colorado School of Mines"", ""promotion_year"": ""2013"", ""years_post_phd"": ""6""}"
Colorado Boulder/full/iyiguncv.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMETRICA"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""ECONOMETRICA"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""0""}"
Colorado Boulder/full/miles kimball CV 2021 03 06.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA,"{""AMERICAN ECONOMIC REVIEW"": ""11"", ""ECONOMETRICA"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMETRICA"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""10"", ""ECONOMETRICA"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""9"", ""ECONOMETRICA"": ""3""}","{""AMERICAN ECONOMIC REVIEW"": ""5"", ""ECONOMETRICA"": ""3""}"
Colorado Boulder/full/zax_cv.docx,promotion_university; promotion_year; years_post_phd,"{""promotion_university"": ""City University of New York"", ""promotion_year"": ""1989"", ""years_post_phd"": ""5""}","{""promotion_university"": ""University of Colorado at Boulder"", ""promotion_year"": ""1990"", ""years_post_phd"": ""6""}","{""promotion_university"": ""City University of New York"", ""promotion_year"": ""1989"", ""years_post_phd"": ""5""}","{""promotion_university"": ""City University of New York"", ""promotion_year"": ""1989"", ""years_post_phd"": ""5""}","{""promotion_university"": ""University of Colorado at Boulder"", ""promotion_year"": ""1990"", ""years_post_phd"": ""6""}"
Emory/associate/CV.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""Emory University"", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""Emory University"", ""promotion_year"": ""2006"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Emory/associate/CV_Karbownik_August_2025.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF LABOR ECONOMICS; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""years_post_phd"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""years_post_phd"": ""11""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF LABOR ECONOMICS"": ""2"", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""years_post_phd"": """"}"
Emory/associate/LindCV.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Emory University"", ""promotion_year"": ""2017"", ""years_post_phd"": ""0""}"
Emory/associate/MatthewGrennan_CV_Aug 2025.docx,promotion_university,"{""promotion_university"": ""University of California, Berkeley""}","{""promotion_university"": ""University of California, Berkeley""}","{""promotion_university"": ""University of California, Berkeley""}","{""promotion_university"": ""University of California, Berkeley, Haas School""}","{""promotion_university"": ""University of California, Berkeley""}"
Emory/associate/OConnell_CV.docx,JOURNAL OF DEVELOPMENT ECONOMICS; name,"{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""name"": ""Stephen D. O'Connell""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""name"": ""Stephen D. O\u2019Connell""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""name"": ""Stephen D. O\u2019Connell""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""4"", ""name"": ""Stephen D. O\u2019Connell""}","{""JOURNAL OF DEVELOPMENT ECONOMICS"": ""3"", ""name"": ""Stephen D. O\u2019Connell""}"
Emory/associate/cv-2.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; name,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""name"": ""Pedro H. C. Sant'Anna""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""name"": ""Pedro H. C. Sant\u2019Anna""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""name"": ""Pedro H. C. Sant\u2019Anna""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""0"", ""name"": ""Pedro H. C. Sant\u2019Anna""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""name"": ""Pedro H. C. Sant\u2019Anna""}"
Emory/full/CV_KaijiChen.docx,AMERICAN ECONOMIC REVIEW,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Emory/full/CV_Maasoumi August 2024.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS; JOURNAL OF LABOR ECONOMICS; JOURNAL OF POLITICAL ECONOMY; REVIEW OF ECONOMIC STUDIES; name; promotion_university,"{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""11"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""1"", ""name"": ""Esfandiar Maasoumi"", ""promotion_university"": ""Indiana University""}","{""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""1"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""name"": ""Esfandiar (Essie) Maasoumi"", ""promotion_university"": ""Indiana University""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""18"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""name"": ""Esfandiar Maasoumi"", ""promotion_university"": ""Indiana University""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""15"", ""JOURNAL OF LABOR ECONOMICS"": ""0"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""name"": ""Esfandiar (Essie) Maasoumi"", ""promotion_university"": ""Indiana University""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""13"", ""JOURNAL OF LABOR ECONOMICS"": ""1"", ""JOURNAL OF POLITICAL ECONOMY"": ""2"", ""REVIEW OF ECONOMIC STUDIES"": ""2"", ""name"": ""Esfandiar (Essie) Maasoumi"", ""promotion_university"": ""Indiana University Bloomington""}"
Emory/full/CV_YUE2024.docx,JOURNAL OF INTERNATIONAL ECONOMICS; promotion_university; promotion_year; years_post_phd,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_university"": ""Emory University"", ""promotion_year"": ""2022"", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_university"": ""New York University"", ""promotion_year"": ""2011"", ""years_post_phd"": ""6""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""4"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Emory/full/ResumeSept23.docx,ECONOMETRICA; JOURNAL OF ECONOMETRICS,"{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""11""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""5""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""9""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""9""}","{""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""12""}"
Emory/full/Rubio-Ramirez-CV.docx,AMERICAN ECONOMIC REVIEW; ECONOMETRICA; JOURNAL OF ECONOMETRICS; JOURNAL OF MONETARY ECONOMICS; REVIEW OF ECONOMIC STUDIES,"{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""3"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""ECONOMETRICA"": ""4"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""5"", ""REVIEW OF ECONOMIC STUDIES"": ""5""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""ECONOMETRICA"": ""3"", ""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF MONETARY ECONOMICS"": ""4"", ""REVIEW OF ECONOMIC STUDIES"": ""4""}"
