file,diff_fields,present_models,missing_models,claude_values,deepseek_values,gemini_values,gpt_values,kimi_values
Indiana Bloomington/associate/cv_gustavo_torrens_september_2022.docx,JOURNAL OF PUBLIC ECONOMICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""promotion_university"": """"}","{""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": """"}","{""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Indiana University""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Indiana University""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": """"}"
Indiana Bloomington/associate/cv_melo_emerson.docx,JOURNAL OF PUBLIC ECONOMICS; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Indiana University""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Indiana University Bloomington""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Indiana University Bloomington""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1"", ""promotion_university"": ""Indiana University Bloomington""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""promotion_university"": ""Indiana University Bloomington""}"
Indiana Bloomington/full/CV_Lugovskyy.docx,JOURNAL OF INTERNATIONAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""3""}","{""JOURNAL OF INTERNATIONAL ECONOMICS"": ""2""}"
Indiana Bloomington/full/VITA_25_11.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Illinois at Urbana-Champaign"", ""promotion_year"": ""2010"", ""years_post_phd"": ""5""}","{""promotion_university"": ""University of Illinois at Urbana-Champaign"", ""promotion_year"": ""2010"", ""years_post_phd"": ""5""}","{""promotion_university"": ""University of Illinois at Urbana-Champaign"", ""promotion_year"": ""2010"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Indiana University"", ""promotion_year"": ""2011"", ""years_post_phd"": ""6""}","{""promotion_university"": ""University of Illinois at Urbana-Champaign"", ""promotion_year"": ""2010"", ""years_post_phd"": ""5""}"
Indiana Bloomington/full/alexeev_cv_dec_2023.docx,REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""George Mason University"", ""promotion_year"": ""1990"", ""years_post_phd"": ""6""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""George Mason University"", ""promotion_year"": ""1990"", ""years_post_phd"": ""6""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""George Mason University"", ""promotion_year"": ""1990"", ""years_post_phd"": ""6""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""Indiana University Bloomington"", ""promotion_year"": ""1992"", ""years_post_phd"": ""8""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""2"", ""promotion_university"": ""Indiana University"", ""promotion_year"": ""1992"", ""years_post_phd"": ""8""}"
Indiana Bloomington/full/chang-cv.docx,JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""11""}","{""JOURNAL OF ECONOMETRICS"": ""11""}","{""JOURNAL OF ECONOMETRICS"": ""11""}","{""JOURNAL OF ECONOMETRICS"": ""12""}","{""JOURNAL OF ECONOMETRICS"": ""12""}"
Indiana Bloomington/full/james-walker-cv-september-2025.docx,JOURNAL OF PUBLIC ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""2""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""1""}"
Indiana Bloomington/full/lueck-cv.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Montana State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Montana State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Montana State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""10""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""promotion_university"": ""Louisiana State University"", ""promotion_year"": ""1995"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Montana State University"", ""promotion_year"": ""1997"", ""years_post_phd"": ""10""}"
Indiana Bloomington/full/park-cv.docx,JOURNAL OF ECONOMETRICS; name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""27"", ""name"": ""Joon Y. Park"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""26"", ""name"": ""Joon Y. Park"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""26"", ""name"": ""Joon Y. Park"", ""promotion_university"": ""University of Toronto"", ""promotion_year"": ""1991"", ""years_post_phd"": ""4""}","{""JOURNAL OF ECONOMETRICS"": ""24"", ""name"": ""null"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF ECONOMETRICS"": ""26"", ""name"": ""Joon Y. Park"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Indiana Bloomington/full/xu-cv.docx,promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""2012"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""2012"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""2012"", ""years_post_phd"": ""5""}","{""promotion_university"": ""Indiana University, Bloomington"", ""promotion_year"": ""2016"", ""years_post_phd"": ""9""}","{""promotion_university"": ""Texas A&M University"", ""promotion_year"": ""2012"", ""years_post_phd"": ""5""}"
Iowa State/associate/Bunzel_H_2024_CV.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""0""}"
Iowa State/full/CV-jmc-current.docx,name,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""John M. Crespi""}","{""name"": ""John M. Crespi""}","{""name"": ""John M. Crespi""}","{""name"": ""John M. Crespi, Ph.D.""}","{""name"": ""John M. Crespi""}"
Iowa State/full/Cordoba_CV_September_2025.docx,INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF MONETARY ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""2"", ""JOURNAL OF MONETARY ECONOMICS"": ""5""}","{""INTERNATIONAL ECONOMIC REVIEW"": ""3"", ""JOURNAL OF MONETARY ECONOMICS"": ""4""}"
Iowa State/full/Hart_C_2025Vita.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Iowa State/full/John Winters CV August 2025.docx,name; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""John V. Winters"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": """", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": ""John V. Winters"", ""promotion_university"": ""Oklahoma State University"", ""promotion_year"": ""2016"", ""years_post_phd"": ""7""}","{""name"": ""JOHN V. WINTERS"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""name"": ""John V. Winters"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Iowa State/full/Lence_S_2025CV.docx,REVIEW OF ECONOMICS AND STATISTICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""REVIEW OF ECONOMICS AND STATISTICS"": ""1"", ""promotion_university"": ""Iowa State University"", ""promotion_year"": ""2003"", ""years_post_phd"": ""11""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""Iowa State University"", ""promotion_year"": ""1998"", ""years_post_phd"": ""7""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": ""Iowa State University"", ""promotion_year"": ""2003"", ""years_post_phd"": ""14""}","{""REVIEW OF ECONOMICS AND STATISTICS"": ""0"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Iowa State/full/LongVitae1.docx,name,claude; deepseek; gemini; gpt; kimi,,"{""name"": ""Quinn Rone Arthur Weninger""}","{""name"": ""Quinn Rone Arthur Weninger""}","{""name"": ""Quinn Rone Arthur Weninger""}","{""name"": ""Quinn Weninger""}","{""name"": ""Quinn Weninger""}"
Iowa State/full/Moschini-CV-June 2025-short.docx,promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_year"": ""1995"", ""years_post_phd"": ""9""}","{""promotion_year"": ""1991"", ""years_post_phd"": ""5""}","{""promotion_year"": ""1991"", ""years_post_phd"": ""5""}","{""promotion_year"": ""1991"", ""years_post_phd"": ""5""}","{""promotion_year"": ""1991"", ""years_post_phd"": ""5""}"
Iowa State/full/RESUME.docx,AMERICAN ECONOMIC REVIEW; ECONOMIC JOURNAL; INTERNATIONAL ECONOMIC REVIEW; JOURNAL OF DEVELOPMENT ECONOMICS; JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS; THEORETICAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""8"", ""ECONOMIC JOURNAL"": ""2"", ""INTERNATIONAL ECONOMIC REVIEW"": ""1"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""2"", ""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""THEORETICAL ECONOMICS"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""4"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""ECONOMIC JOURNAL"": ""0"", ""INTERNATIONAL ECONOMIC REVIEW"": ""0"", ""JOURNAL OF DEVELOPMENT ECONOMICS"": ""0"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0"", ""THEORETICAL ECONOMICS"": ""0""}"
Iowa State/full/jbvita March 2024.docx,JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMIC THEORY"": ""3""}"
Iowa/associate/Frisvold_CV.docx,JOURNAL OF POLITICAL ECONOMY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""JOURNAL OF POLITICAL ECONOMY"": ""0""}"
Iowa/associate/SuyongSong_CV.docx,promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""promotion_university"": ""University of Iowa""}","{""promotion_university"": ""University of Iowa""}","{""promotion_university"": ""University of Iowa""}","{""promotion_university"": ""Tippie College of Business, University of Iowa""}","{""promotion_university"": ""University of Iowa""}"
"Iowa/full/David J Cooper resume, 2025.docx",AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""4""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""AMERICAN ECONOMIC REVIEW"": ""3""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""3"", ""AMERICAN ECONOMIC REVIEW"": ""4""}"
Iowa/full/NicholasY-CV.docx,JOURNAL OF ECONOMIC THEORY; JOURNAL OF PUBLIC ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""11"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""12"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""12"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}","{""JOURNAL OF ECONOMIC THEORY"": ""13"", ""JOURNAL OF PUBLIC ECONOMICS"": ""1""}","{""JOURNAL OF ECONOMIC THEORY"": ""12"", ""JOURNAL OF PUBLIC ECONOMICS"": ""0""}"
Iowa/full/cv_castro.docx,ECONOMETRICA; JOURNAL OF ECONOMIC THEORY; promotion_university,claude; deepseek; gemini; gpt; kimi,,"{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""University of Iowa""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""University of Iowa""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""University of Iowa""}","{""ECONOMETRICA"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""promotion_university"": ""Department of Economics, University of Iowa""}","{""ECONOMETRICA"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""7"", ""promotion_university"": ""University of Iowa""}"
Iowa/full/cv_kumar.docx,JOURNAL OF PUBLIC ECONOMICS; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""University of Iowa"", ""promotion_year"": ""2024"", ""years_post_phd"": ""20""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}","{""JOURNAL OF PUBLIC ECONOMICS"": ""3"", ""promotion_university"": ""University of Iowa"", ""promotion_year"": ""2024"", ""years_post_phd"": ""20""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": ""University of Iowa"", ""promotion_year"": ""2024"", ""years_post_phd"": ""20""}","{""JOURNAL OF PUBLIC ECONOMICS"": ""2"", ""promotion_university"": """", ""promotion_year"": """", ""years_post_phd"": """"}"
Michigan State/associate/CVHanzhe.docx,AMERICAN ECONOMIC JOURNAL-MICROECONOMICS; THEORETICAL ECONOMICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""THEORETICAL ECONOMICS"": ""1""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""1"", ""THEORETICAL ECONOMICS"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""THEORETICAL ECONOMICS"": ""0""}","{""AMERICAN ECONOMIC JOURNAL-MICROECONOMICS"": ""2"", ""THEORETICAL ECONOMICS"": ""0""}"
Michigan State/associate/sorenanderson_cv.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""2""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}"
Michigan State/full/CV Kyoo il Kim.docx,JOURNAL OF ECONOMETRICS; JOURNAL OF ECONOMIC THEORY,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""4"", ""JOURNAL OF ECONOMIC THEORY"": ""1""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""2""}","{""JOURNAL OF ECONOMETRICS"": ""3"", ""JOURNAL OF ECONOMIC THEORY"": ""1""}"
Michigan State/full/CV_Eguia.docx,JOURNAL OF ECONOMIC THEORY; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""University of Bristol"", ""promotion_year"": ""2013"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""University of Bristol"", ""promotion_year"": ""2013"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""University of Bristol"", ""promotion_year"": ""2013"", ""years_post_phd"": ""6""}","{""JOURNAL OF ECONOMIC THEORY"": ""1"", ""promotion_university"": ""Michigan State University"", ""promotion_year"": ""2014"", ""years_post_phd"": ""7""}","{""JOURNAL OF ECONOMIC THEORY"": ""0"", ""promotion_university"": ""University of Bristol"", ""promotion_year"": ""2013"", ""years_post_phd"": ""6""}"
Michigan State/full/ElderCVcurrent.docx,AMERICAN ECONOMIC REVIEW,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""0""}"
Michigan State/full/HaiderCV.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMETRICS,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMETRICS"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMETRICS"": ""0""}"
Michigan State/full/JeitschkoCVJan2022.docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF ECONOMIC THEORY; name; promotion_university; promotion_year,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""name"": ""Thomas D. Jeitschko"", ""promotion_university"": """", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""2"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""name"": """", ""promotion_university"": """", ""promotion_year"": """"}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""name"": ""Thomas D. Jeitschko"", ""promotion_university"": ""Michigan State University"", ""promotion_year"": ""2005""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""3"", ""name"": ""Thomas D. Jeitschko"", ""promotion_university"": ""Michigan State University"", ""promotion_year"": ""2009""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""JOURNAL OF ECONOMIC THEORY"": ""0"", ""name"": ""Thomas D. Jeitschko"", ""promotion_university"": """", ""promotion_year"": """"}"
Michigan State/full/Mike Conlin - Curriculum Vitae.docx,promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""promotion_year"": ""2005"", ""years_post_phd"": ""10""}","{""promotion_year"": ""2004"", ""years_post_phd"": ""9""}","{""promotion_year"": ""2004"", ""years_post_phd"": ""9""}","{""promotion_year"": ""2004"", ""years_post_phd"": ""9""}","{""promotion_year"": ""2004"", ""years_post_phd"": ""9""}"
Michigan State/full/Stacy Dickert-Conlin - Curriculum Vitae.docx,AMERICAN ECONOMIC REVIEW; promotion_university; promotion_year; years_post_phd,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Michigan State University"", ""promotion_year"": ""2005"", ""years_post_phd"": ""9""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""1"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""8""}","{""AMERICAN ECONOMIC REVIEW"": ""0"", ""promotion_university"": ""Syracuse University"", ""promotion_year"": ""2004"", ""years_post_phd"": ""8""}"
Michigan State/full/WoodburyCV(2025-10).docx,AMERICAN ECONOMIC REVIEW; JOURNAL OF POLITICAL ECONOMY,claude; deepseek; gemini; gpt; kimi,,"{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""1""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""4"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}","{""AMERICAN ECONOMIC REVIEW"": ""3"", ""JOURNAL OF POLITICAL ECONOMY"": ""0""}"
